time,ax,ay,az,aT
0.0100,-0.3879,0.3543,19.5415,19.549
0.0710,0.3879,-0.2251,0.0622,0.453
0.1370,0.0814,-0.7757,0.1867,0.802
0.2040,-0.2825,-0.4501,0.2969,0.609
0.2730,0.3926,-0.0431,0.3735,0.544
0.3550,0.4453,-0.7518,0.7470,1.150
0.4020,-1.7238,-0.5938,0.9960,2.078
0.4790,-1.0918,-0.3112,1.5754,1.942
0.5350,0.1724,-1.0056,-0.5650,1.166
0.6010,-0.9625,-1.6041,-0.3591,1.905
0.6740,0.0527,-0.1532,0.3831,0.416
0.7350,0.8571,1.7047,0.9529,2.133
0.8050,0.0383,5.3103,4.3622,6.872
0.8670,-1.1588,2.6959,3.7781,4.784
0.9340,-0.1484,-1.8052,0.5698,1.899
1.0070,1.1779,-5.0230,-2.4612,5.716
1.0680,1.8052,-5.8035,-3.7254,7.129
1.1360,1.9968,-5.1332,-4.1084,6.871
1.1990,1.4030,-2.9066,-4.6400,5.652
1.2760,-1.3216,7.2401,11.2432,13.438
1.3310,-0.8954,5.7940,7.2688,9.338
1.4010,0.4405,-1.3216,-2.3846,2.762
1.4640,1.6137,-4.4053,-4.1372,6.255
1.5360,2.0016,-4.9033,-5.1858,7.412
1.5970,3.2896,-2.5953,-3.3710,5.378
1.6630,3.5865,3.0598,5.5019,7.245
1.7300,-2.4612,6.0286,15.2415,16.574
1.8040,-3.9409,-1.6664,-1.9106,4.686
1.8630,-2.2075,-5.4157,-4.9033,7.632
1.9280,-0.9194,-5.8610,-5.1763,7.873
1.9940,-2.1021,-3.2465,-4.2760,5.766
2.0610,-3.9025,6.6176,7.5896,10.799
2.1290,1.9010,6.9049,12.4546,14.367
2.1930,5.5737,-2.7102,-1.7478,6.439
2.2600,5.8945,-5.9280,-5.5115,10.013
2.3270,3.6152,-6.0238,-4.3383,8.257
2.3950,0.6656,-1.3455,-1.5131,2.131
2.4600,-4.1180,9.3901,7.1778,12.516
2.5270,-2.1739,7.1347,12.7276,14.752
2.5930,-0.8380,-3.6966,-1.2833,4.002
2.6580,0.6225,-6.9336,-4.3000,8.182
2.7270,0.8092,-6.7229,-5.4013,8.662
2.7920,1.3503,-4.6878,-4.3239,6.519
2.8580,-0.1389,0.6991,0.7470,1.032
2.9250,0.2634,8.8442,13.6661,16.280
